Index;Document_No;Dominant_Topic;Topic_Perc_Contrib;Keywords;Question;Response
985;985;14.0;0.066;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;"flight time is 3:33 from PHX to ORD. &lt;3x3x3 = 27&gt; Gate is 27. Sitting in Row 27.";You may have found your lucky numbers, Ashvin. Its time to play the lotto!
986;986;16.0;0.0786;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;Is this the same as my exec platinum desk? Or different;Theyre different department, Kathy. They work with account questions or discrepancies that you may have noticed.
987;987;1.0;0.0883;cancel, airline, trip, expect, return, buy, chance, full, price, include;can someone help me with my EQMs? Just before last trip I had 84189, flew to SAN. says earned 3409 miles but it only credited me with 2946. Please help;If you give our AAdvantage Customer Service team a call, theyll look into this with you to clear things up: https://t.co/l7FeGMUy12
988;988;9.0;0.0694;flight, back, problem, happy, hold, long, service, terminal, money, row;back on the saddle ...;Its a great day to go flying!
989;989;10.0;0.0774;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Im certain could fit one more human on this flight but we are already all sexually harassing each other by default. Ill drive next time. Your execs are sorry humans.;It is a very busy holiday season, everyone has somewhere theyd like to be!
990;990;0.0;0.0673;call, year, guy, nice, update, amp, ve, week, receive, status;Complete. I pray you can help;We see your DM and will respond to you there.
991;991;12.0;0.1011;make, change, customer, hope, thing, fee, dm, line, cool, night;Why go to my DM and say the same thing that you tweeted... you won’t change it and i just gave money to you for nothing. But you will profit because a seat will be free for a standby passenger .... wow way to treat customers! Thanks!;We wanted more clarification and keep your information private. Were sorry for your disappointment.
992;992;4.0;0.0784;delay, hour, miss, late, connection, suck, flight, policy, refund, water;Understood but the policy should reflect the people not the company! Yes the whole name is misspelled.. can you can it?;Please follow and meet us in DMs with your record locator and well be happy to take a peek.
993;993;12.0;0.1087;make, change, customer, hope, thing, fee, dm, line, cool, night;"is disappointing! This is why i rather fly i simply want to change the name of the passenger, not change my flight. They rather i lose my money &amp; have an open set than be helpful &amp;change the person name. That’s bad business! Thought the customer was important!";Youre very important to us but we have to stay consistent with our policy. If the name is misspelled, we can help with that.
994;994;1.0;0.0664;cancel, airline, trip, expect, return, buy, chance, full, price, include;#Piedmont #heritage https://t.co/bhIkHdFbn6;We like to #throwback every once in a while. Thanks for sharing the pic!
995;995;2.0;0.066;seat, pay, move, extra, purchase, information, room, group, screw, hotel;I wish would clean their windows on their planes 😪;Our planes are regularly washed and we always want you to have a good #AAView from your window seat. Were sorry if theyre dirty today.
996;996;13.0;0.0657;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;Can I check a box of clothes instead of a suitcase? What if its all taped up?;Some destinations have a box embargo but take a look here for more information: https://t.co/XvGHnVVEv9
997;997;18.0;0.0669;issue, holiday, family, happen, fix, due, card, end, contact, first_class;- Was told Id receive an eVoucher at the beginning of Oct. Its now the end of Nov. :-/;Wed be happy to look into this. Did you receive an email from our Customer Relations team? If so, DM the reference number.
998;998;13.0;0.0697;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;Shoutout to for retrieving a laptop that I lost 🙌🏿 much appreciated.;Were glad our #AATeam helped track it down for you. Have a great weekend!
999;999;2.0;0.0744;seat, pay, move, extra, purchase, information, room, group, screw, hotel;is it policy for your fight attendants to always be rude? I’ve flown all over the country and I’m part of your frequent flyer program. Take a lesson from bc they are nice AFFFF;We count on all our team to be courteous and kind and apologize for any rudeness you received.
1000;1000;3.0;0.1119;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;Thank you for putting screens on the backs of the seats! Just got off an Orlando-LAX flight! I asked the gate agent if we had screens, he said no! Kids melted down, only to get on the plane to the sweet sight of screens! Thanks for making the 5+ hour flight fab!;We love our traveling families and were so happy they enjoyed the flight. We cant wait to see you guys on board again soon!
1001;1001;6.0;0.0776;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;I love when your maintenance issues on flight 1186 keep me from my family. Why do I keep giving you another chance? #insanity;We see our airport team has you rebooked with confirmed upgrades on later flights. Our apologies for any inconvenience caused.
1002;1002;19.0;0.0804;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;Very kind of you. Would you like my wife’s number to explain why I won’t be home for dinner?;Safety for our customers is of the utmost importance. We appreciate your understanding with the need for extra travel time today.
1003;1003;19.0;0.1194;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;My wife is waiting for your call. How about you refund me the fare difference in the ticket I booked and the ticket your making me take;Once the travel is complete, youre welcome to make a refund request here: https://t.co/xM8Vkc7BvM
1004;1004;11.0;0.0648;flight, great, staff, terrible, destination, entire, completely, locator, question, list;Spot me the $160 in the meantime? Those refunds take time you say;We see the airport team has offered vouchers to help defray your dinner cost.
1005;1005;7.0;0.0792;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;So I’m on my 4th set of boarding passes. https://t.co/Rte4iE9Gq3;Were sorry for the long wait, Brady. Were working to get you to your destination, as soon as possible.
1006;1006;1.0;0.0669;cancel, airline, trip, expect, return, buy, chance, full, price, include;For some reason I don’t think you are. Can I rebook on another airline? Come January 1 I will never fly you again. #FormerExecPlatinum;Youd have to speak to an airport agent to see if theres any availability on another airline. Theyll do their best to accommodate you.
1007;1007;10.0;0.082;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Lost bag at gate check human error. Customer service each time I talked to a real person was exceptional. Makes a difference.;This is music to our ears but were sorry for the inconvenience. We cant wait to have you back on board soon.
1008;1008;17.0;0.077;time, bad, service, experience, response, home, understand, month, guy, reason;is the absolute worst. They refused to bump me to an earlier flight that had SEATS AVAILABLE!;We offer a Same Day Confirmed option for $75. Thats the best way to get on a different flight than scheduled.
1009;1009;14.0;0.1726;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;"I walked up to the gate and the agent indicated she would put me on standby. After all loading groups had boarded the gate agent indicated seats still available but refused to allow me to board due to ""the computer not allowing it."" Other airlines allow this...";Thats odd, its possible your reservation doesnt allow for changes. We can take a closer look if you DM your record locator.
1010;1010;4.0;0.0744;delay, hour, miss, late, connection, suck, flight, policy, refund, water;Fantastic experience in the new #FlagshipLounge in Even complete with #MiniMarshmallows for my hot chocolate to go! #Miami #InTransit https://t.co/VuScEpeM6r;That sounds like the perfect treat when youre on the go. Sara. Thanks for your AAwesome praises on the new club!
